date,passengers
1949-01-31,112.0
1949-02-28,118.0
1949-03-31,132.0
1949-04-30,129.0
1949-05-31,121.0
1949-06-30,135.0
1949-07-31,148.0
1949-08-31,148.0
1949-09-30,136.0
1949-10-31,119.0
1949-11-30,104.0
1949-12-31,118.0
1950-01-31,115.0
1950-02-28,126.0
1950-03-31,141.0
1950-04-30,135.0
1950-05-31,125.0
1950-06-30,149.0
1950-07-31,170.0
1950-08-31,170.0
1950-09-30,158.0
1950-10-31,133.0
1950-11-30,114.0
1950-12-31,140.0
1951-01-31,145.0
1951-02-28,150.0
1951-03-31,178.0
1951-04-30,163.0
1951-05-31,172.0
1951-06-30,178.0
1951-07-31,199.0
1951-08-31,199.0
1951-09-30,184.0
1951-10-31,162.0
1951-11-30,146.0
1951-12-31,166.0
1952-01-31,171.0
1952-02-29,180.0
1952-03-31,193.0
1952-04-30,181.0
1952-05-31,183.0
1952-06-30,218.0
1952-07-31,230.0
1952-08-31,242.0
1952-09-30,209.0
1952-10-31,191.0
1952-11-30,172.0
1952-12-31,194.0
1953-01-31,196.0
1953-02-28,196.0
1953-03-31,236.0
1953-04-30,235.0
1953-05-31,229.0
1953-06-30,243.0
1953-07-31,264.0
1953-08-31,272.0
1953-09-30,237.0
1953-10-31,211.0
1953-11-30,180.0
1953-12-31,201.0
1954-01-31,204.0
1954-02-28,188.0
1954-03-31,235.0
1954-04-30,227.0
1954-05-31,234.0
1954-06-30,264.0
1954-07-31,302.0
1954-08-31,293.0
1954-09-30,259.0
1954-10-31,229.0
1954-11-30,203.0
1954-12-31,229.0
1955-01-31,242.0
1955-02-28,233.0
1955-03-31,267.0
1955-04-30,269.0
1955-05-31,270.0
1955-06-30,315.0
1955-07-31,364.0
1955-08-31,347.0
1955-09-30,312.0
1955-10-31,274.0
1955-11-30,237.0
1955-12-31,278.0
1956-01-31,284.0
1956-02-29,277.0
1956-03-31,317.0
1956-04-30,313.0
1956-05-31,318.0
1956-06-30,374.0
1956-07-31,413.0
1956-08-31,405.0
1956-09-30,355.0
1956-10-31,306.0
1956-11-30,271.0
1956-12-31,306.0
1957-01-31,315.0
1957-02-28,301.0
1957-03-31,356.0
1957-04-30,348.0
1957-05-31,355.0
1957-06-30,422.0
1957-07-31,465.0
1957-08-31,467.0
1957-09-30,404.0
1957-10-31,347.0
1957-11-30,305.0
1957-12-31,336.0
1958-01-31,340.0
1958-02-28,318.0
1958-03-31,362.0
1958-04-30,348.0
1958-05-31,363.0
1958-06-30,435.0
1958-07-31,491.0
1958-08-31,505.0
1958-09-30,404.0
1958-10-31,359.0
1958-11-30,310.0
1958-12-31,337.0
1959-01-31,360.0
1959-02-28,342.0
1959-03-31,406.0
1959-04-30,396.0
1959-05-31,420.0
1959-06-30,472.0
1959-07-31,548.0
1959-08-31,559.0
1959-09-30,463.0
1959-10-31,407.0
1959-11-30,362.0
1959-12-31,405.0
1960-01-31,417.0
1960-02-29,391.0
1960-03-31,419.0
1960-04-30,461.0
1960-05-31,472.0
1960-06-30,535.0
1960-07-31,622.0
1960-08-31,606.0
1960-09-30,508.0
1960-10-31,461.0
1960-11-30,390.0
1960-12-31,432.0
